Date,Open,High,Low,Close,Adj Close,Volume
1/9/20,3266.03003,3275.58008,3263.66992,3274.69995,3274.69995,3638390000
1/10/20,3281.81006,3282.98999,3260.86011,3265.3501,3265.3501,3212970000
1/13/20,3271.12988,3288.12988,3268.42993,3288.12988,3288.12988,3456380000
1/14/20,3285.3501,3294.25,3277.18994,3283.1499,3283.1499,3665130000
1/15/20,3282.27002,3298.65991,3280.68994,3289.29004,3289.29004,3716840000
1/16/20,3302.96997,3317.11011,3302.82007,3316.81006,3316.81006,3535080000
1/17/20,3323.65991,3329.87988,3318.86011,3329.62012,3329.62012,3698170000
1/21/20,3321.03003,3329.79004,3316.61011,3320.79004,3320.79004,4105340000
1/22/20,3330.02002,3337.77002,3320.04004,3321.75,3321.75,3619850000
1/23/20,3315.77002,3326.87988,3301.87012,3325.54004,3325.54004,3764860000
1/24/20,3333.1001,3333.17993,3281.53003,3295.46997,3295.46997,3707130000
1/27/20,3247.15991,3258.8501,3234.5,3243.62988,3243.62988,3823100000
1/28/20,3255.3501,3285.78003,3253.21997,3276.23999,3276.23999,3526720000
1/29/20,3289.45996,3293.46997,3271.88989,3273.3999,3273.3999,3584500000
1/30/20,3256.44995,3285.90991,3242.80005,3283.65991,3283.65991,3787250000
1/31/20,3282.33008,3282.33008,3214.67993,3225.52002,3225.52002,4527830000
2/3/20,3235.65991,3268.43994,3235.65991,3248.91992,3248.91992,3757910000
2/4/20,3280.61011,3306.91992,3280.61011,3297.59009,3297.59009,3995320000
2/5/20,3324.90991,3337.58008,3313.75,3334.68994,3334.68994,4117730000
2/6/20,3344.91992,3347.95996,3334.38989,3345.78003,3345.78003,3868370000
2/7/20,3335.54004,3341.41992,3322.12012,3327.70996,3327.70996,3730650000
2/10/20,3318.28003,3352.26001,3317.77002,3352.09009,3352.09009,3450350000
2/11/20,3365.87012,3375.62988,3352.71997,3357.75,3357.75,3760550000
2/12/20,3370.5,3381.46997,3369.71997,3379.44995,3379.44995,3926380000
2/13/20,3365.8999,3385.09009,3360.52002,3373.93994,3373.93994,3498240000
2/14/20,3378.08008,3380.68994,3366.1499,3380.15991,3380.15991,3398040000
2/18/20,3369.04004,3375.01001,3355.61011,3370.29004,3370.29004,3746720000
2/19/20,3380.38989,3393.52002,3378.83008,3386.1499,3386.1499,3600150000
2/20/20,3380.44995,3389.1499,3341.02002,3373.22998,3373.22998,4007320000
2/21/20,3360.5,3360.76001,3328.44995,3337.75,3337.75,3899270000
2/24/20,3257.61011,3259.81006,3214.6499,3225.88989,3225.88989,4842960000
2/25/20,3238.93994,3246.98999,3118.77002,3128.20996,3128.20996,5591510000
2/26/20,3139.8999,3182.51001,3108.98999,3116.38989,3116.38989,5478110000
2/27/20,3062.54004,3097.07007,2977.38989,2978.76001,2978.76001,7058840000
2/28/20,2916.8999,2959.71997,2855.84009,2954.21997,2954.21997,8563850000
3/2/20,2974.28003,3090.95996,2945.18994,3090.22998,3090.22998,6376400000
3/3/20,3096.45996,3136.71997,2976.62988,3003.37012,3003.37012,6355940000
3/4/20,3045.75,3130.96997,3034.37988,3130.12012,3130.12012,5035480000
3/5/20,3075.69995,3083.04004,2999.83008,3023.93994,3023.93994,5575550000
3/6/20,2954.19995,2985.92993,2901.54004,2972.37012,2972.37012,6552140000
3/9/20,2863.88989,2863.88989,2734.42993,2746.56006,2746.56006,8423050000
3/10/20,2813.47998,2882.59009,2734,2882.22998,2882.22998,7635960000
3/11/20,2825.6001,2825.6001,2707.21997,2741.37988,2741.37988,7374110000
3/12/20,2630.86011,2660.94995,2478.86011,2480.63989,2480.63989,8829380000
3/13/20,2569.98999,2711.33008,2492.37012,2711.02002,2711.02002,8258670000
3/16/20,2508.59009,2562.97998,2380.93994,2386.12988,2386.12988,7781540000
3/17/20,2425.65991,2553.92993,2367.04004,2529.18994,2529.18994,8358500000
3/18/20,2436.5,2453.57007,2280.52002,2398.1001,2398.1001,8755780000
3/19/20,2393.47998,2466.96997,2319.78003,2409.38989,2409.38989,7946710000
3/20/20,2431.93994,2453.01001,2295.56006,2304.91992,2304.91992,9044690000
3/23/20,2290.70996,2300.72998,2191.86011,2237.3999,2237.3999,7402180000
3/24/20,2344.43994,2449.70996,2344.43994,2447.33008,2447.33008,7547350000
3/25/20,2457.77002,2571.41992,2407.53003,2475.56006,2475.56006,8285670000
3/26/20,2501.29004,2637.01001,2500.71997,2630.07007,2630.07007,7753160000
3/27/20,2555.87012,2615.90991,2520.02002,2541.46997,2541.46997,6194330000
3/30/20,2558.97998,2631.80005,2545.28003,2626.6499,2626.6499,5746220000
3/31/20,2614.68994,2641.38989,2571.1499,2584.59009,2584.59009,6568290000
4/1/20,2498.08008,2522.75,2447.48999,2470.5,2470.5,5947900000
4/2/20,2458.54004,2533.21997,2455.79004,2526.8999,2526.8999,6454990000
4/3/20,2514.91992,2538.17993,2459.95996,2488.6499,2488.6499,6087190000
4/6/20,2578.28003,2676.8501,2574.57007,2663.67993,2663.67993,6391860000
